📺央视频道4k,#genre#
CCTV-4k,http://a21709.tv.netsite.cc/proxy/1810627534/1810627534.m3u8
CCTV-1,http://a21709.tv.netsite.cc/proxy/1387573383/1387573383.m3u8
CCTV-2,http://a21709.tv.netsite.cc/proxy/1865857764/1865857764.m3u8
CCTV-4,http://a21709.tv.netsite.cc/proxy/1431251767/1431251767.m3u8
CCTV-5,http://a21709.tv.netsite.cc/proxy/2118762958/2118762958.m3u8
CCTV-5+,http://a21709.tv.netsite.cc/proxy/485668034/485668034.m3u8
CCTV-6,http://a21709.tv.netsite.cc/proxy/584456678/584456678.m3u8
CCTV-7,http://a21709.tv.netsite.cc/proxy/1163485033/1163485033.m3u8
CCTV-9,http://a21709.tv.netsite.cc/proxy/675916385/675916385.m3u8
CCTV-10,http://a21709.tv.netsite.cc/proxy/2131132936/2131132936.m3u8
CCTV-11,http://a21709.tv.netsite.cc/proxy/421024024/421024024.m3u8
CCTV-12,http://a21709.tv.netsite.cc/proxy/1321786312/1321786312.m3u8
CCTV-13,http://a21709.tv.netsite.cc/proxy/1942371728/1942371728.m3u8
CCTV-14,http://a21709.tv.netsite.cc/proxy/512439688/512439688.m3u8
CCTV-15,http://a21709.tv.netsite.cc/proxy/323678478/323678478.m3u8
CCTV-16,http://a21709.tv.netsite.cc/proxy/2055404079/2055404079.m3u8
CCTV-17,http://a21709.tv.netsite.cc/proxy/199561397/199561397.m3u8
CGTN法语频道,http://a21709.tv.netsite.cc/proxy/897976963/897976963.m3u8
CGTN俄语频道,http://a21709.tv.netsite.cc/proxy/742102579/742102579.m3u8
CGTN阿拉伯语频道,http://a21709.tv.netsite.cc/proxy/1846633731/1846633731.m3u8
CGTN西班牙语频道,http://a21709.tv.netsite.cc/proxy/1194246781/1194246781.m3u8
CGTN外语记录频道,http://a21709.tv.netsite.cc/proxy/634350026/634350026.m3u8
1905-电影网,http://a21709.tv.netsite.cc/proxy/1747360543/1747360543.m3u8

